DeepCSV;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
3, iterativefit, central, 1, 0.0, 2.5, 20.0, 10000, -15, 1.1, 1.0
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, -15, 0, 1.39072835445
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0, 0.0915, 1.24646484852
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.0915, 0.2055, -42.1951713634*(x-0.0915)*(x-0.0915)*(x-0.0915)+15.1161060249*(x-0.0915)*(x-0.0915)-1.80136683255*(x-0.0915)+1.2464648485183716
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.2055, 0.251, -964.689655119*(x-0.2055)*(x-0.2055)*(x-0.2055)+66.2512895784*(x-0.2055)*(x-0.2055)+0.0*(x-0.2055)+1.1750439405441284
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.251, 0.295, -0.470108000696*(x-0.251)*(x-0.251)*(x-0.251)-0.394212373151*(x-0.251)*(x-0.251)+0.0374210761053*(x-0.251)+1.2213304042816162
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.295, 0.3385, 2097.79977839*(x-0.295)*(x-0.295)*(x-0.295)-161.96106999*(x-0.295)*(x-0.295)+0.0*(x-0.295)+1.2221736907958984
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.3385, 0.388, 247.246323379*(x-0.3385)*(x-0.3385)*(x-0.3385)-1.978722672*(x-0.3385)*(x-0.3385)-2.18192819716*(x-0.3385)+1.0883787870407104
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.388, 0.442, 35.9490598909*(x-0.388)*(x-0.388)*(x-0.388)+2.27679124242*(x-0.388)*(x-0.388)-0.560375830107*(x-0.388)+1.0055128335952759
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.442, 0.497, -17.8582138945*(x-0.442)*(x-0.442)*(x-0.442)+2.67623473277*(x-0.442)*(x-0.442)+0.0*(x-0.442)+0.9875523447990417
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.497, 0.5535, -102.472711101*(x-0.497)*(x-0.497)*(x-0.497)+7.51356642944*(x-0.497)*(x-0.497)+0.132322529512*(x-0.497)+0.9926767945289612
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.5535, 0.6115, 399.370655428*(x-0.5535)*(x-0.5535)*(x-0.5535)-40.6188174603*(x-0.5535)*(x-0.5535)+0.0*(x-0.5535)+1.0056560039520264
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.6115, 0.6705, 14.2954670543*(x-0.6115)*(x-0.6115)*(x-0.6115)+2.01458606136*(x-0.6115)*(x-0.6115)-0.681334170808*(x-0.6115)+0.946936309337616
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.6705, 0.73, -22.738973085*(x-0.6705)*(x-0.6705)*(x-0.6705)+2.83349627132*(x-0.6705)*(x-0.6705)-0.29432545312*(x-0.6705)+0.9166863560676575
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.73, 0.7905, -23.3768188091*(x-0.73)*(x-0.73)*(x-0.73)+1.53146794666*(x-0.73)*(x-0.73)-0.198644345225*(x-0.73)+0.9044154286384583
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.7905, 0.851, 176.171461412*(x-0.7905)*(x-0.7905)*(x-0.7905)-13.7558929594*(x-0.7905)*(x-0.7905)-0.270031726817*(x-0.7905)+0.8928263187408447
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.851, 0.911, -161.489954701*(x-0.851)*(x-0.851)*(x-0.851)+14.5340959231*(x-0.851)*(x-0.851)+0.0*(x-0.851)+0.8651517033576965
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.911, 0.9755, 175.486441744*(x-0.911)*(x-0.911)*(x-0.911)-39.6502407804*(x-0.911)*(x-0.911)+0.0*(x-0.911)+0.8825926184654236
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 20, 30, 0.9755, 1.1, 0.764727056026
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, -15, 0, 1.0615311861
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0, 0.0765, 1.13932824135
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.0765, 0.174, 37.1226032435*(x-0.0765)*(x-0.0765)*(x-0.0765)-11.0794124161*(x-0.0765)*(x-0.0765)+1.10179517989*(x-0.0765)+1.1393282413482666
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.174, 0.2165, 741.807598702*(x-0.174)*(x-0.174)*(x-0.174)-47.2902344172*(x-0.174)*(x-0.174)+0.0*(x-0.174)+1.1758370399475098
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.2165, 0.261, -1239.18449558*(x-0.2165)*(x-0.2165)*(x-0.2165)+82.7155650798*(x-0.2165)*(x-0.2165)+0.0*(x-0.2165)+1.1473643779754639
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.261, 0.3115, 374.104642725*(x-0.261)*(x-0.261)*(x-0.261)-39.1672826291*(x-0.261)*(x-0.261)+0.0*(x-0.261)+1.2019635438919067
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.3115, 0.366, 285.211771763*(x-0.3115)*(x-0.3115)*(x-0.3115)-17.0534401716*(x-0.3115)*(x-0.3115)-1.09371445021*(x-0.3115)+1.1502572298049927
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.366, 0.421, 28.5863145002*(x-0.366)*(x-0.366)*(x-0.366)+1.37879845091*(x-0.366)*(x-0.366)-0.411088633689*(x-0.366)+1.086166501045227
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.421, 0.4785, -16.5580498062*(x-0.421)*(x-0.421)*(x-0.421)+1.42813179579*(x-0.421)*(x-0.421)+0.0*(x-0.421)+1.0724835395812988
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.4785, 0.538, 402.327054567*(x-0.4785)*(x-0.4785)*(x-0.4785)-37.3266369422*(x-0.4785)*(x-0.4785)+0.0*(x-0.4785)+1.0740574598312378
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.538, 0.5985, 5.34254715099*(x-0.538)*(x-0.538)*(x-0.538)+0.910657493364*(x-0.538)*(x-0.538)-0.168854731325*(x-0.538)+1.0266599655151367
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.5985, 0.66, -78.7531966839*(x-0.5985)*(x-0.5985)*(x-0.5985)+7.26498239409*(x-0.5985)*(x-0.5985)+0.0*(x-0.5985)+1.0209605693817139
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.66, 0.722, 175.522049651*(x-0.66)*(x-0.66)*(x-0.66)-16.5060436047*(x-0.66)*(x-0.66)+0.0*(x-0.66)+1.0301198959350586
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.722, 0.784, -5.80386585045*(x-0.722)*(x-0.722)*(x-0.722)+0.536211999578*(x-0.722)*(x-0.722)-0.0226291304036*(x-0.722)+1.00850248336792
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.784, 0.846, 312.310502831*(x-0.784)*(x-0.784)*(x-0.784)-32.6280895401*(x-0.784)*(x-0.784)-0.0230690234432*(x-0.784)+1.007777452468872
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.846, 0.908, -68.31806427*(x-0.846)*(x-0.846)*(x-0.846)+6.56519306483*(x-0.846)*(x-0.846)-0.467387407759*(x-0.846)+0.9553571343421936
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.908, 0.9745, 14.9982047574*(x-0.908)*(x-0.908)*(x-0.908)-4.97077928236*(x-0.908)*(x-0.908)-0.441147384882*(x-0.908)+0.9353336095809937
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 30, 50, 0.9745, 1.1, 0.888425946236
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, -15, 0, 0.988692522049
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0, 0.0765, 1.19082260132
3, iterativefit, down_hfstats2, 0, 0.0, 2.5, 50, 70, 0.0765, 0.1795, 2.91938172218*(x-0.0765)*(x-0.0765)*(x-0.0765)-3.37441722512*(x-0.0765)*(x-0.0765)+0.0*(x-0.0765)+1.1908226013183594
